pruning,hanoi4-12_h1,hanoi4-12_h1,hanoi4-12_h0,hanoi4-12_h0,hanoi4-12_h2,hanoi4-12_h2
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,49.0,49.0,49.0,49.0,49.0,49.0
mean,974915.27,984759.14,1045987.53,1005340.1,956070.1,939772.51
std,1202224.63,1212488.43,1293757.38,1241400.86,1179593.48,1152766.45
min,1.0,2.0,1.0,2.0,1.0,2.0
25%,49.0,62.0,49.0,62.0,49.0,62.0
50%,934.0,1134.0,934.0,1134.0,934.0,1134.0
75%,2243372.0,2269812.0,2254450.0,2305791.0,2205654.0,2207234.0
max,3050078.0,3001850.0,3010464.0,3110162.0,3025188.0,3067123.0
