pruning,24-puzzle_h0,24-puzzle_h0,24-puzzle_h2,24-puzzle_h2,24-puzzle_h1,24-puzzle_h1
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,4177880.5,4040630.56,4106996.08,4219368.48,4146803.82,4063523.54
std,619180.37,608345.49,626098.34,631713.6,612025.33,583018.89
min,3417672.0,3355108.0,3372255.0,3423747.0,3402546.0,3402184.0
25%,3615348.75,3513449.5,3601894.75,3699288.75,3656703.0,3635880.5
50%,3994659.0,3733072.5,3753228.5,3838992.5,3766000.5,3802032.5
75%,4829350.5,4672384.5,4801471.5,4889829.5,4876686.25,4708202.5
max,5053954.0,5125313.0,5032459.0,5126618.0,5065743.0,5217035.0
