pruning,algorithm,info,24puzzle50instanceskorf.txt
h0,bfs,f,0
h0,iddfs,f,0
h0,astar,f,0
h0,idastar,f,0
h1,bfs,f,0
h1,iddfs,f,0
h1,astar,f,0
h1,idastar,f,0
h0,bfs,g,E7
h0,iddfs,g,E7
h0,astar,g,E6
h0,idastar,g,E7
h1,bfs,g,E7
h1,iddfs,g,E7
h1,astar,g,E6
h1,idastar,g,E7
h0,bfs,e,E7
h0,iddfs,e,E7
h0,astar,e,E6
h0,idastar,e,E7
h1,bfs,e,E7
h1,iddfs,e,E7
h1,astar,e,E6
h1,idastar,e,E7
h0,bfs,d,14.8
h0,iddfs,d,14.4
h0,astar,d,34.2
h0,idastar,d,29
h1,bfs,d,14.8
h1,iddfs,d,14.4
h1,astar,d,34.2
h1,idastar,d,29
h0,bfs,t,17.79
h0,iddfs,t,18.57
h0,astar,t,35.46
h0,idastar,t,76.05
h1,bfs,t,17.93
h1,iddfs,t,18.02
h1,astar,t,33.46
h1,idastar,t,75.95
