pruning,algorithm,info,24puzzle50instanceskorf.txt
24-puzzleh0,astar,f,0
24-puzzleh0,idastar,f,0
24-puzzleh1,astar,f,0
24-puzzleh1,idastar,f,0
24-puzzleh0,astar,g,E7
24-puzzleh0,idastar,g,E7
24-puzzleh1,astar,g,E7
24-puzzleh1,idastar,g,E7
24-puzzleh0,astar,e,E6
24-puzzleh0,idastar,e,E7
24-puzzleh1,astar,e,E6
24-puzzleh1,idastar,e,E7
24-puzzleh0,astar,d,59.8
24-puzzleh0,idastar,d,53.8
24-puzzleh1,astar,d,59.4
24-puzzleh1,idastar,d,53.8
24-puzzleh0,astar,t,24.21
24-puzzleh0,idastar,t,30.79
24-puzzleh1,astar,t,23.2
24-puzzleh1,idastar,t,29.09
