pruning,topspin_14_4_h2,topspin_14_4_h2,topspin_14_4_h1,topspin_14_4_h1,topspin_14_4_h0,topspin_14_4_h0
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,1279156.6,1298107.16,1278722.58,1321681.7,1292655.52,1327452.32
std,567540.27,570817.64,567718.15,576670.83,570845.47,574539.85
min,69011.0,74323.0,69011.0,74323.0,69011.0,74323.0
25%,1288704.25,1329132.75,1311650.5,1352346.5,1334540.75,1373036.75
50%,1379715.0,1391249.0,1403879.0,1437107.5,1409326.5,1443339.5
75%,1772053.0,1741319.75,1709892.25,1801079.75,1756515.25,1817228.25
max,1925126.0,1967424.0,1925236.0,1950613.0,1978183.0,1950343.0
