pruning,algorithm,info,hanoi4p18d.d=5,hanoi4p18d.d=10,hanoi4p18d.d=15,hanoi4p18d.d=2E+3,hanoi4p18d.d=E6
h0,bfs,f,1,1,1,0,0
h0,iddfs,f,1,1,1,0,0
h0,astar,f,1,1,1,1,0
h0,idastar,f,1,1,1,1,0
h1,bfs,f,1,1,1,0,0
h1,iddfs,f,1,1,1,0,0
h1,astar,f,1,1,1,1,0
h1,idastar,f,1,1,1,1,0
h0,bfs,g,436,4945,E6,E7,E7
h0,iddfs,g,530,5965,E6,E7,E7
h0,astar,g,16,34,69,261,E6
h0,idastar,g,7,14,32,97,E7
h1,bfs,g,436,4945,E6,E7,E7
h1,iddfs,g,530,5965,E6,E7,E7
h1,astar,g,16,34,69,261,E6
h1,idastar,g,7,14,32,97,E7
h0,bfs,e,78,848,E5,E7,E7
h0,iddfs,e,97,1024,E6,E7,E7
h0,astar,e,3,6,12,44,E6
h0,idastar,e,3,4,8,21,E7
h1,bfs,e,78,848,E5,E7,E7
h1,iddfs,e,97,1024,E6,E7,E7
h1,astar,e,3,6,12,44,E6
h1,idastar,e,3,4,8,21,E7
h0,bfs,d,4,5,9,10,10
h0,iddfs,d,4,5,9,10,10
h0,astar,d,3,4,8,21,61
h0,idastar,d,3,4,8,21,20
h1,bfs,d,4,5,9,10,10
h1,iddfs,d,4,5,9,10,10
h1,astar,d,3,4,8,21,61
h1,idastar,d,3,4,8,21,20
h0,bfs,t,1.09,1.2,3.05,76.43,78.07
h0,iddfs,t,1,1,4.06,59.03,59.9
h0,astar,t,4,5.01,1,4.35,902.46
h0,idastar,t,1,1,1,1,156.62
h1,bfs,t,1.08,1.23,3.05,66.13,76.11
h1,iddfs,t,1,1,4.06,60.22,59.59
h1,astar,t,1,4,1,4.34,902.52
h1,idastar,t,1,1,1,1,157.71
