pruning,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h2,topspin_17_4_h2
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,18140874.62,18724912.34,17075161.7,18096812.26,17447313.14,17343436.14
std,6442482.62,6482019.31,5646634.11,6159351.55,5906086.75,5757957.17
min,10082.0,10710.0,10082.0,10710.0,10082.0,10710.0
25%,16924780.25,17255086.0,17386058.25,17645240.75,17068934.25,17252584.0
50%,18024667.5,18591045.0,18359516.5,18483480.5,18399942.5,17946702.5
75%,24032085.0,23907846.0,18910359.0,23261720.75,19006090.25,19189760.5
max,25377465.0,25504229.0,24947484.0,25614258.0,25352747.0,25498377.0
