pruning,topspin_17_4_h0,topspin_17_4_h0,topspin_17_4_h1,topspin_17_4_h1,topspin_17_4_h2,topspin_17_4_h2
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,1067112.26,1101469.74,1004423.12,1064522.48,1026314.98,1020206.36
std,378970.66,381296.42,332155.9,362315.81,347417.85,338704.39
min,593.0,631.0,593.0,631.0,593.0,631.0
25%,995575.75,1015009.75,1022711.5,1037958.75,1004056.75,1014862.0
50%,1060277.0,1093595.5,1079973.5,1087268.0,1082351.0,1055692.0
75%,1413655.25,1406348.0,1112375.25,1368341.5,1118007.25,1128813.75
max,1492795.0,1500253.0,1467502.0,1506725.0,1491341.0,1499909.0
