pruning,hanoi4-12_h1,hanoi4-12_h1,hanoi4-12_h0,hanoi4-12_h0,hanoi4-12_h2,hanoi4-12_h2
algorithm,bfs,iddfs,bfs,iddfs,bfs,iddfs
count,49.0,49.0,49.0,49.0,49.0,49.0
mean,5849327.65,5908367.29,6275761.14,6031834.12,5736256.86,5638449.04
std,7213305.66,7274898.8,7762519.49,7448328.24,7077497.89,6916560.93
min,6.0,7.0,6.0,7.0,6.0,7.0
25%,271.0,330.0,271.0,330.0,271.0,330.0
50%,5355.0,6485.0,5355.0,6485.0,5355.0,6485.0
75%,13458131.0,13618838.0,13526671.0,13834714.0,13233895.0,13243360.0
max,18300433.0,18011052.0,18062747.0,18660906.0,18151103.0,18402662.0
