pruning,algorithm,info,hanoi4p14d.d=5,hanoi4p14d.d=10,hanoi4p14d.d=15,hanoi4p14d.d=2E+3,hanoi4p14d.d=E6
h0,bfs,f,1,1,1,0,0
h0,iddfs,f,1,1,1,0,0
h0,astar,f,1,1,1,1,0
h0,idastar,f,1,1,1,1,0
h1,bfs,f,1,1,1,0,0
h1,iddfs,f,1,1,1,0,0
h1,astar,f,1,1,1,1,0
h1,idastar,f,1,1,1,1,0
h0,bfs,g,4945,E6,E5,E7,E7
h0,iddfs,g,5965,E6,E5,E7,E7
h0,astar,g,34,69,57,261,E6
h0,idastar,g,14,30,27,96,E7
h1,bfs,g,4945,E6,E5,E7,E7
h1,iddfs,g,5965,E6,E5,E7,E7
h1,astar,g,34,69,57,261,E6
h1,idastar,g,14,30,27,96,E7
h0,bfs,e,848,E5,E5,E7,E7
h0,iddfs,e,1024,E5,E5,E7,E7
h0,astar,e,6,12,10,44,E6
h0,idastar,e,4,7,7,21,E7
h1,bfs,e,848,E5,E5,E7,E7
h1,iddfs,e,1024,E5,E5,E7,E7
h1,astar,e,6,12,10,44,E6
h1,idastar,e,4,7,7,21,E7
h0,bfs,d,5,8,8,11,11
h0,iddfs,d,5,8,8,10,10
h0,astar,d,4,7,7,21,54
h0,idastar,d,4,7,7,21,28
h1,bfs,d,5,8,8,11,11
h1,iddfs,d,5,8,8,10,10
h1,astar,d,4,7,7,21,54
h1,idastar,d,4,7,7,21,28
h0,bfs,t,1,1.04,1.2,71.8,72.35
h0,iddfs,t,1,2.02,1.01,60.33,63
h0,astar,t,1,1,1,1.16,904.6
h0,idastar,t,1,1,1,1,161.09
h1,bfs,t,1,1.07,1.24,71.11,70.33
h1,iddfs,t,1,2.02,1.01,62.04,63.72
h1,astar,t,1,1,1,1.2,902.79
h1,idastar,t,1,1,1,1,159.55
